area_type,availability,location,BHK,society,total_sqft,bathrooms,balcony,price,Corrected_Percent_Flooded_Area,price_per_sqft
Super built-up  Area,19-Dec,Sarjapur  Road,6,Soini T,1254,3,2,38,0.620779654,3030.30303
Super built-up  Area,Ready To Move,Ganga Nagar,1,Ceove G,600,1,0,38,0.870628148,6333.333333
Plot  Area,Ready To Move,Yelahanka,4,Tata Eden Court,660,1,0,48,1.835951782,7272.727273
Super built-up  Area,19-Sep,Kanakpura Road,1,Soazak ,1330.74,2,2,91.79,4.881482417,6897.66596
Plot  Area,Ready To Move,HSR Layout,8,DLF Park Place,600,9,,200,9.385547809,33333.33333
Super built-up  Area,Ready To Move,Doddathoguru,5,LancyRe,970,2,0,33,11.91387334,3402.061856
Super built-up  Area,20-Sep,Whitefield,2,Goted U,1459,2,1,94.82,14.44869666,6498.971899
Plot  Area,Ready To Move,KR Puram,4,Adani Shantigram,800,1,1,130,16.53832279,16250
Built-up  Area,Ready To Move,Himagiri Meadows,2,,869,2,1,36,6.654597736,4142.69275
Super built-up  Area,Ready To Move,Adarsh Nagar,3,Bhncyis,1270,2,1,50,5.196410326,3937.007874
Super built-up  Area,18-Mar,Bhoganhalli,6,Rosha I,1670,3,1,99,11.59095462,5928.143713
Built-up  Area,Ready To Move,Whitefield,5,Suent V,2010,3,2,91,3.135691777,4527.363184
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2,RothaVa,1185,2,2,75,2.853895807,6329.113924
Super built-up  Area,Ready To Move,Yelahanka,3,NCowsar,1600,2,3,75,3.732064694,4687.5
Super built-up  Area,Ready To Move,Begur Road,2,Dhalsh ,1200,2,2,44,13.41948919,3666.666667
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2,PeBayle,1500,2,2,185,11.80139268,12333.33333
Plot  Area,Ready To Move,Murugeshpalya,6,DLF Park Place,1407,4,1,150,10.48787247,10660.98081
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2,Adani Shantigram,840,2,2,45,6.588557735,5357.142857
Plot  Area,Ready To Move,Tharabanahalli,3,Ireo Skyon,4395,3,2,240,13.48924998,5460.750853
Super built-up  Area,Ready To Move,Ganga Nagar,1,Laavevi,845,2,1,55,8.562804612,6508.87574
Plot  Area,Ready To Move,Whitefield,3,Chranya,5700,5,3,650,8.287953017,11403.50877
Built-up  Area,Ready To Move,Varthur,2,HioraTr,1160,2,2,44,9.231447974,3793.103448
Built-up  Area,Ready To Move,Bommanahalli,8,Adani Shantigram,3000,8,0,140,13.18157395,4666.666667
Super built-up  Area,Ready To Move,Doddathoguru,2,Ireo Skyon,1100,2,1,62,12.6070399,5636.363636
Super built-up  Area,18-Apr,Gunjur,2,BMineis,1140,2,3,43,1.656871704,3771.929825
Super built-up  Area,Ready To Move,Marathahalli,2,Ireo Skyon,1220,2,1,57,9.233600225,4672.131148
Plot  Area,Ready To Move,Devarachikkanahalli,8,DLF Park Place,1350,7,0,85,22.52672148,6296.296296
Super built-up  Area,Ready To Move,Kanakpura Road,3,Ireo Skyon,1005,2,1,36.68,17.33980856,3649.751244
Plot  Area,Ready To Move,Double Road,3,Ireo Skyon,500,3,2,100,16.04309188,20000
Super built-up  Area,20-Aug,Begur Road,2,Pruthg ,1358,2,1,80.58,8.241462489,5933.726068
Super built-up  Area,Ready To Move,Hegde Nagar,4,Sonosty,1569,3,1,101,3.155673349,6437.22116
Super built-up  Area,18-Apr,Haralur Road,3,SNnia E,1240,2,1,70,5.154656156,5645.16129
Super built-up  Area,Ready To Move,Hennur Road,2,Anavi B,2089,3,2,140,17.21104287,6701.771182
Super built-up  Area,Ready To Move,Kothannur,2,Runwal Greens,1206,2,1,48.23,1.843256596,3999.170813
Super built-up  Area,Ready To Move,Kalena Agrahara,2,Tata Eden Court,1150,2,3,40,3.129321309,3478.26087
Built-up  Area,Ready To Move,Cholanayakanahalli,3,Viony H,2511,3,3,205,6.360902258,8164.078057
Built-up  Area,Ready To Move,Kaval Byrasandra,4,Tata Eden Court,460,1,0,22,9.387440533,4782.608696
Built-up  Area,Ready To Move,ISRO Layout,6,Tata Eden Court,4400,6,3,250,4.619683648,5681.818182
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,6,AdentEl,1660,2,2,105,9.002316572,6325.301205
Super built-up  Area,19-Mar,Yelahanka,5,Niareum,1326,2,2,78,14.37494456,5882.352941
Super built-up  Area,Ready To Move,Garudachar Palya,8,DLF Park Place,1325,2,2,60.8,11.4120932,4588.679245
Super built-up  Area,Ready To Move,EPIP Zone,5,SJlynro,1499,5,2,102,11.60726948,6804.536358
Built-up  Area,Ready To Move,Hegde Nagar,4,Gaur City 7th Avenu,3000,7,2,210,5.386832738,7000
Super built-up  Area,Ready To Move,Kanakpura Road,3,Eros Sampoornam,1665,3,2,88,5.289701443,5285.285285
Super built-up  Area,17-Sep,Dasanapura,1,Tavenew,708,2,2,37,10.05644787,5225.988701
Super built-up  Area,Ready To Move,Kasavanhalli,3,Srire S,1060,2,2,58.06,8.19729709,5477.358491
Plot  Area,Ready To Move,Rajaji Nagar,6,Sunteck City,710,6,3,160,2.607282647,22535.21127
Built-up  Area,Ready To Move,Sanjay nagar,2,Saenti ,1000,2,2,70,3.872831529,7000
Super built-up  Area,18-Dec,Electronic City,5,Ashiana Town,1000,2,1,28.88,0.413248775,2888
Super built-up  Area,Ready To Move, Mysore Highway,3,Omaxe Heights,1450,2,2,70,1.685961495,4827.586207
Plot  Area,Ready To Move,ISRO Layout,6,BPTP Park Grandeura,1200,4,2,155,1.761243108,12916.66667
Super built-up  Area,17-Aug,Thanisandra,2,Bhmesy ,1296,2,3,80,3.470539782,6172.839506
Super built-up  Area,Ready To Move,Domlur,3,Ajmera Infinity,1540,3,2,90,13.73832054,5844.155844
Plot  Area,Ready To Move,Kengeri,4,Goardth,2894,4,1,245,16.86821474,8465.791292
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3,Mahaveer Rhyolite,1330,2,1,48,20.79971936,3609.022556
Built-up  Area,Ready To Move,Devasthanagalu,1,Rohan Mithila,1200,2,1,65,13.72985928,5416.666667
Built-up  Area,Ready To Move,T Dasarahalli,5,Mahaveer Rhyolite,1200,3,1,90,12.08953008,7500
Super built-up Area,Ready To Move,Bandra,2,Galaxy Heights,1100,2,1,28000000,3.5,25455
Built-up Area,Under Construction,Andheri West,3,Ocean Pearl,1400,3,2,35000000,5.2,25000
Carpet Area,Ready To Move,Powai,1,Lake View Residency,700,1,1,15000000,1.2,21429
Plot Area,Ready To Move,Dadar East,2,Shree Enclave,950,2,1,24000000,2,25263
Super built-up Area,Under Construction,Malad West,3,Blue Moon Towers,1600,3,2,40000000,6.1,25000
Built-up Area,Ready To Move,Juhu,4,Sunshine Villas,2200,4,3,70000000,4,31818
Carpet Area,Ready To Move,Kandivali East,2,Green Hills,850,2,1,19000000,2.8,22353
Plot Area,Under Construction,Worli,3,Sea Breeze Tower,1500,3,2,45000000,7,30000
Super built-up Area,Ready To Move,Chembur,2,Eco Residency,1050,2,1,26000000,3.1,24762
Built-up Area,Under Construction,Borivali West,1,Metro Homes,600,1,1,12000000,2.4,20000
Built-up Area,Ready To Move,Saket,2,Saket Enclave,1200,2,1,25000000,2.5,20833
Built-up Area,Under Construction,Dwarka,3,Dwarka Heights,1500,3,2,34000000,4.1,22667
Carpet Area,Ready To Move,Rohini,1,Rohini Residency,750,1,1,13000000,1.5,17333
Plot Area,Ready To Move,Lajpat Nagar,2,Lajpat Villas,980,2,1,22000000,2.2,22449
Super built-up Area,Under Construction,Vasant Kunj,3,Skyline Towers,1700,3,2,39000000,5,22941
Built-up Area,Ready To Move,Karol Bagh,4,Karol Elite,2100,4,3,65000000,3.8,30952
Carpet Area,Ready To Move,Patel Nagar,2,Patel Prestige,870,2,1,17000000,2.7,19540
Plot Area,Under Construction,New Friends Colony,3,Green Nest,1400,3,2,40000000,6,28571
Super built-up Area,Ready To Move,Greater Kailash,2,Kailash Residency,1150,2,1,24000000,3,20870
Built-up Area,Under Construction,Mayur Vihar,1,Mayur Residency,650,1,1,11000000,1.8,16923
Carpet Area,Ready To Move,Janakpuri,3,Janak Royale,1350,3,2,30000000,4.3,22222
Plot Area,Ready To Move,Nehru Place,2,Nehru Plaza,1050,2,1,20000000,2.6,19048
Super built-up Area,Under Construction,Chanakyapuri,4,Chanakya Greens,2000,4,3,60000000,3.9,30000
Built-up Area,Ready To Move,Ashok Vihar,2,Ashok Residency,1080,2,1,21000000,2.9,19444
Carpet Area,Under Construction,Kalkaji,1,Kalkaji Classic,720,1,1,14000000,2,19444
Super built-up Area,Ready To Move,Mohali,2,Green Valley,1150,2,1,4800000,1.5,4174
Built-up Area,Under Construction,Amritsar,3,Golden Heights,1400,3,2,6200000,2.1,4429
Carpet Area,Ready To Move,Ludhiana,1,City Residency,780,1,1,3200000,0.8,4103
Plot Area,Ready To Move,Patiala,2,Royal Enclave,950,2,1,4500000,1.2,4737
Super built-up Area,Under Construction,Jalandhar,3,Pearl Towers,1600,3,2,6800000,2.3,4250
Built-up Area,Ready To Move,Zirakpur,4,Sky Residency,2000,4,3,9000000,2.8,4500
Carpet Area,Ready To Move,Bathinda,2,Eco Green,890,2,1,3900000,1.7,4382
Plot Area,Under Construction,Phagwara,3,Phagwara Residency,1300,3,2,6000000,2.5,4615
Super built-up Area,Ready To Move,Hoshiarpur,2,Hillside Villas,1100,2,1,5000000,1.4,4545
Built-up Area,Under Construction,Kharar,1,Kharar Heights,670,1,1,3100000,0.9,4627
Carpet Area,Ready To Move,Rajpura,3,Rajpura Elite,1250,3,2,5700000,2,4560
Plot Area,Ready To Move,Firozpur,2,River View,1000,2,1,4300000,1.3,4300
Super built-up Area,Under Construction,Pathankot,4,Pathankot Greens,1900,4,3,8500000,2.6,4474
Built-up Area,Ready To Move,Barnala,2,Barnala Heights,1070,2,1,4700000,1.6,4393
Carpet Area,Under Construction,Moga,1,Moga Residency,740,1,1,3500000,1,4729
Built-up Area,Ready To Move,Barnala,2,Barnala Heights,1070,2,1,4700000,1.6,4393
Carpet Area,Under Construction,Moga,1,Moga Residency,740,1,1,3500000,1,4729
